step,epoch,reward_mean,reward_std,loss,kl,completion_mean_length
20,0.078125,0.005575000122189522,0.011150000244379043,0.0172,,109.0125
40,0.15625,0.0,0.0,0.0,,100.6875
60,0.234375,0.0,0.0,0.0,,107.5625
80,0.3125,0.0024000000208616256,0.004799999669194222,-0.0111,,92.1125
100,0.390625,0.0,0.0,0.0,,95.85
120,0.46875,0.0,0.0,0.0,,104.275
140,0.546875,0.0,0.0,0.0,,120.4375
160,0.625,0.0,0.0,0.0,,131.6875
180,0.703125,0.005575000122189522,0.011150000244379043,0.0156,,102.3875
200,0.78125,0.0,0.0,0.0,,89.45
220,0.859375,0.0,0.0,0.0,,94.0125
240,0.9375,0.0,0.0,0.0,,90.025
260,1.015625,0.0,0.0,0.0,,108.0
280,1.09375,0.0,0.0,0.0,,106.9625
300,1.171875,0.0,0.0,0.0,,107.8625
320,1.25,0.008025000244379044,0.016050000488758088,-0.02,,120.1125
340,1.328125,0.0,0.0,0.0,,137.375
360,1.40625,0.005575000122189522,0.011150000244379043,0.0066,,102.7875
380,1.484375,0.0,0.0,0.0,,100.5
400,1.5625,0.011150000244379043,0.022300000488758086,0.0341,,89.55
420,1.640625,0.005575000122189522,0.011150000244379043,0.0197,,96.4625
440,1.71875,0.0,0.0,0.0,,96.6875
460,1.796875,0.005575000122189522,0.011150000244379043,0.0203,,98.325
480,1.875,0.0,0.0,0.0,,102.025
500,1.953125,0.0,0.0,0.0,,114.65
520,2.03125,0.0,0.0,0.0,,133.15
540,2.109375,0.0,0.0,0.0,,103.325
560,2.1875,0.008025000244379044,0.016050000488758088,0.01,,110.075
580,2.265625,0.0,0.0,0.0,,118.675
600,2.34375,0.0048500001430511475,0.009700000286102295,0.0057,,94.2125
620,2.421875,0.005575000122189522,0.011150000244379043,0.0123,,106.5375
640,2.5,0.0048500001430511475,0.009700000286102295,-0.0089,,99.4625
660,2.578125,0.009175000339746475,0.01835000067949295,0.0002,,99.075
680,2.65625,0.0,0.0,0.0,,85.7
700,2.734375,0.0048500001430511475,0.009700000286102295,0.0086,,100.525
720,2.8125,0.006362500041723252,0.012725000083446503,0.0051,,110.1125
740,2.890625,0.005575000122189522,0.011150000244379043,0.0199,,100.85
760,2.96875,0.0,0.0,0.0,,91.15
780,3.046875,0.011150000244379043,0.022300000488758086,0.0446,,106.15
800,3.125,0.005575000122189522,0.011150000244379043,0.0198,,118.875
820,3.203125,0.008025000244379044,0.016050000488758088,0.0175,,110.025
840,3.28125,0.013600000366568565,0.02720000073313713,0.0269,,124.45
860,3.359375,0.005575000122189522,0.011150000244379043,0.0144,,100.1375
880,3.4375,0.012875000387430191,0.025750000774860383,0.0042,,96.0125
900,3.515625,0.0,0.0,0.0,,114.425
